Top result for (M, N) = (3072, 5120) : ((32, 8, 320), 43.857918)
Top result for (M, N) = (3072, 5632) : ((32, 8, 64), 46.4384)
Top result for (M, N) = (3072, 6144) : ((32, 8, 64), 50.13504)
Top result for (M, N) = (3072, 6656) : ((32, 8, 128), 53.841919)
Top result for (M, N) = (3072, 7168) : ((32, 8, 64), 56.903683)
Top result for (M, N) = (3072, 7680) : ((32, 8, 128), 61.265923)
Top result for (M, N) = (3072, 8192) : ((32, 16, 128), 65.945602)
Top result for (M, N) = (3584, 512) : ((16, 8, 64), 6.35904)
Top result for (M, N) = (3584, 1024) : ((16, 8, 64), 7.43424)
Top result for (M, N) = (3584, 1536) : ((16, 8, 128), 9.46176)
Top result for (M, N) = (3584, 2048) : ((16, 8, 128), 12.67712)
Top result for (M, N) = (3584, 2560) : ((16, 16, 128), 28.27264)
Top result for (M, N) = (3584, 3072) : ((16, 8, 192), 32.081921)
Top result for (M, N) = (3584, 3584) : ((16, 8, 256), 36.167679)
Top result for (M, N) = (3584, 4096) : ((16, 8, 256), 40.40704)
Top result for (M, N) = (3584, 4608) : ((32, 8, 384), 46.489601)
Top result for (M, N) = (3584, 5120) : ((16, 8, 64), 50.268158)
Top result for (M, N) = (3584, 5632) : ((32, 8, 256), 57.118721)
Top result for (M, N) = (3584, 6144) : ((32, 16, 128), 60.098564)
Top result for (M, N) = (3584, 6656) : ((32, 16, 64), 63.877121)
Top result for (M, N) = (3584, 7168) : ((32, 8, 64), 65.658882)
Top result for (M, N) = (3584, 7680) : ((32, 8, 64), 70.246399)
Top result for (M, N) = (3584, 8192) : ((32, 8, 64), 74.158081)
Top result for (M, N) = (4096, 512) : ((16, 8, 64), 7.59808)
Top result for (M, N) = (4096, 1024) : ((16, 8, 64), 9.73824)
Top result for (M, N) = (4096, 1536) : ((16, 8, 64), 12.83072)
Top result for (M, N) = (4096, 2048) : ((32, 8, 64), 18.45248)
Top result for (M, N) = (4096, 2560) : ((16, 8, 192), 31.61088)
Top result for (M, N) = (4096, 3072) : ((16, 8, 192), 36.167679)
Top result for (M, N) = (4096, 3584) : ((16, 8, 256), 41.287678)
Top result for (M, N) = (4096, 4096) : ((32, 8, 64), 45.322243)
Top result for (M, N) = (4096, 4608) : ((32, 8, 64), 50.083843)
Top result for (M, N) = (4096, 5120) : ((32, 8, 128), 55.224319)
Top result for (M, N) = (4096, 5632) : ((32, 8, 64), 60.200958)
Top result for (M, N) = (4096, 6144) : ((32, 8, 64), 64.942078)
Top result for (M, N) = (4096, 6656) : ((32, 8, 64), 69.20192)
Top result for (M, N) = (4096, 7168) : ((32, 8, 64), 73.963516)
Top result for (M, N) = (4096, 7680) : ((32, 8, 64), 78.981117)
Top result for (M, N) = (4096, 8192) : ((32, 8, 64), 83.568642)
Top result for (M, N) = (4608, 512) : ((16, 8, 64), 7.92576)
Top result for (M, N) = (4608, 1024) : ((16, 8, 64), 10.52672)
Top result for (M, N) = (4608, 1536) : ((16, 8, 64), 14.223359)
Top result for (M, N) = (4608, 2048) : ((32, 8, 192), 27.033602)
Top result for (M, N) = (4608, 2560) : ((16, 8, 256), 35.450878)
Top result for (M, N) = (4608, 3072) : ((32, 8, 64), 39.0144)
Top result for (M, N) = (4608, 3584) : ((32, 8, 64), 44.984322)
Top result for (M, N) = (4608, 4096) : ((32, 8, 64), 50.063362)
Top result for (M, N) = (4608, 4608) : ((32, 8, 192), 55.429119)
Top result for (M, N) = (4608, 5120) : ((32, 8, 384), 61.900803)
Top result for (M, N) = (4608, 5632) : ((32, 8, 64), 66.53952)
Top result for (M, N) = (4608, 6144) : ((32, 8, 64), 71.731201)
Top result for (M, N) = (4608, 6656) : ((32, 8, 64), 76.963844)
Top result for (M, N) = (4608, 7168) : ((32, 8, 64), 82.278404)
Top result for (M, N) = (4608, 7680) : ((32, 8, 64), 87.848961)
Top result for (M, N) = (4608, 8192) : ((32, 8, 64), 93.071358)
Top result for (M, N) = (5120, 512) : ((16, 8, 64), 7.7824)
Top result for (M, N) = (5120, 1024) : ((16, 8, 64), 10.803201)
Top result for (M, N) = (5120, 1536) : ((32, 8, 64), 16.65024)
Top result for (M, N) = (5120, 2048) : ((16, 8, 192), 30.289921)
Top result for (M, N) = (5120, 2560) : ((32, 8, 128), 38.369278)
