Top result for (M, N) = (3584, 1024) : ((64, 32), 7.12704)
Top result for (M, N) = (3584, 1536) : ((64, 32), 8.51968)
Top result for (M, N) = (3584, 2048) : ((1024, 32), 11.694079)
Top result for (M, N) = (3584, 2560) : ((512, 32), 24.371199)
Top result for (M, N) = (3584, 3072) : ((128, 128), 30.52544)
Top result for (M, N) = (3584, 3584) : ((128, 128), 34.580479)
Top result for (M, N) = (3584, 4096) : ((32, 32), 39.137283)
Top result for (M, N) = (3584, 4608) : ((512, 32), 43.315201)
Top result for (M, N) = (3584, 5120) : ((256, 32), 47.62624)
Top result for (M, N) = (3584, 5632) : ((256, 32), 51.476479)
Top result for (M, N) = (3584, 6144) : ((256, 32), 55.531521)
Top result for (M, N) = (3584, 6656) : ((256, 32), 59.678722)
Top result for (M, N) = (3584, 7168) : ((256, 32), 63.743999)
Top result for (M, N) = (3584, 7680) : ((256, 32), 67.788803)
Top result for (M, N) = (3584, 8192) : ((256, 32), 71.823357)
Top result for (M, N) = (4096, 512) : ((64, 32), 6.0928)
Top result for (M, N) = (4096, 1024) : ((128, 32), 7.15776)
Top result for (M, N) = (4096, 1536) : ((128, 64), 9.553921)
Top result for (M, N) = (4096, 2048) : ((512, 32), 16.01536)
Top result for (M, N) = (4096, 2560) : ((256, 32), 30.23872)
Top result for (M, N) = (4096, 3072) : ((128, 32), 34.385918)
Top result for (M, N) = (4096, 3584) : ((128, 128), 39.557121)
Top result for (M, N) = (4096, 4096) : ((256, 32), 43.816963)
Top result for (M, N) = (4096, 4608) : ((256, 32), 48.762878)
Top result for (M, N) = (4096, 5120) : ((256, 32), 54.03648)
Top result for (M, N) = (4096, 5632) : ((256, 32), 58.122238)
Top result for (M, N) = (4096, 6144) : ((256, 32), 62.484482)
Top result for (M, N) = (4096, 6656) : ((512, 32), 67.727356)
Top result for (M, N) = (4096, 7168) : ((128, 32), 72.734718)
Top result for (M, N) = (4096, 7680) : ((512, 32), 76.779518)
Top result for (M, N) = (4096, 8192) : ((256, 32), 80.947197)
Top result for (M, N) = (4608, 512) : ((512, 32), 6.26688)
Top result for (M, N) = (4608, 1024) : ((128, 32), 7.895041)
Top result for (M, N) = (4608, 1536) : ((256, 64), 10.51648)
Top result for (M, N) = (4608, 2048) : ((1024, 64), 25.333761)
Top result for (M, N) = (4608, 2560) : ((128, 32), 33.884159)
Top result for (M, N) = (4608, 3072) : ((32, 64), 37.898239)
Top result for (M, N) = (4608, 3584) : ((256, 32), 43.704319)
Top result for (M, N) = (4608, 4096) : ((32, 64), 48.148479)
Top result for (M, N) = (4608, 4608) : ((256, 32), 54.46656)
Top result for (M, N) = (4608, 5120) : ((256, 32), 59.637764)
Top result for (M, N) = (4608, 5632) : ((512, 32), 65.423363)
Top result for (M, N) = (4608, 6144) : ((32, 32), 70.154236)
Top result for (M, N) = (4608, 6656) : ((256, 32), 75.151352)
Top result for (M, N) = (4608, 7168) : ((256, 32), 80.476158)
Top result for (M, N) = (4608, 7680) : ((256, 32), 85.186554)
Top result for (M, N) = (4608, 8192) : ((256, 32), 90.624001)
Top result for (M, N) = (5120, 512) : ((32, 32), 6.53312)
Top result for (M, N) = (5120, 1024) : ((64, 32), 8.17152)
Top result for (M, N) = (5120, 1536) : ((512, 32), 13.2096)
Top result for (M, N) = (5120, 2048) : ((64, 128), 28.702719)
Top result for (M, N) = (5120, 2560) : ((256, 32), 36.79232)
Top result for (M, N) = (5120, 3072) : ((256, 32), 41.543678)
Top result for (M, N) = (5120, 3584) : ((128, 128), 48.465919)
Top result for (M, N) = (5120, 4096) : ((256, 32), 53.22752)
Top result for (M, N) = (5120, 4608) : ((256, 32), 59.422722)
Top result for (M, N) = (5120, 5120) : ((256, 32), 65.669121)
Top result for (M, N) = (5120, 5632) : ((512, 32), 71.372803)
Top result for (M, N) = (5120, 6144) : ((128, 32), 77.137917)
Top result for (M, N) = (5120, 6656) : ((512, 64), 83.660805)
Top result for (M, N) = (5120, 7168) : ((256, 32), 88.504318)
Top result for (M, N) = (5120, 7680) : ((256, 32), 93.788155)
Top result for (M, N) = (5120, 8192) : ((512, 32), 101.048317)
Top result for (M, N) = (5632, 512) : ((256, 64), 6.85056)
Top result for (M, N) = (5632, 1024) : ((128, 32), 8.663039)
Top result for (M, N) = (5632, 1536) : ((512, 32), 18.923519)
Top result for (M, N) = (5632, 2048) : ((32, 128), 31.37536)
Top result for (M, N) = (5632, 2560) : ((1024, 32), 40.775681)
Top result for (M, N) = (5632, 3072) : ((128, 32), 44.779522)
Top result for (M, N) = (5632, 3584) : ((128, 256), 52.285442)
Top result for (M, N) = (5632, 4096) : ((256, 32), 57.825279)
Top result for (M, N) = (5632, 4608) : ((256, 32), 64.665604)
Top result for (M, N) = (5632, 5120) : ((256, 32), 71.628799)
Top result for (M, N) = (5632, 5632) : ((256, 32), 77.926407)
Top result for (M, N) = (5632, 6144) : ((256, 32), 83.875832)
Top result for (M, N) = (5632, 6656) : ((256, 32), 90.245117)
Top result for (M, N) = (5632, 7168) : ((256, 32), 96.788483)
Top result for (M, N) = (5632, 7680) : ((512, 32), 103.086082)
Top result for (M, N) = (5632, 8192) : ((256, 64), 110.827522)
Top result for (M, N) = (6144, 512) : ((128, 64), 7.28064)
Top result for (M, N) = (6144, 1024) : ((256, 32), 9.13408)
Top result for (M, N) = (6144, 1536) : ((512, 64), 25.37472)
Top result for (M, N) = (6144, 2048) : ((32, 64), 33.884159)
Top result for (M, N) = (6144, 2560) : ((256, 32), 42.536961)
Top result for (M, N) = (6144, 3072) : ((256, 32), 48.250881)
Top result for (M, N) = (6144, 3584) : ((256, 32), 56.268799)
Top result for (M, N) = (6144, 4096) : ((128, 32), 62.515198)
Top result for (M, N) = (6144, 4608) : ((256, 32), 70.307846)
Top result for (M, N) = (6144, 5120) : ((64, 32), 79.257599)
Top result for (M, N) = (6144, 5632) : ((256, 32), 84.080635)
Top result for (M, N) = (6144, 6144) : ((256, 32), 90.68544)
Top result for (M, N) = (6144, 6656) : ((256, 32), 98.017281)
Top result for (M, N) = (6144, 7168) : ((256, 32), 105.082886)
Top result for (M, N) = (6144, 7680) : ((512, 32), 111.779839)
Top result for (M, N) = (6144, 8192) : ((128, 64), 120.432648)
Top result for (M, N) = (6656, 512) : ((32, 32), 7.22944)
Top result for (M, N) = (6656, 1024) : ((256, 32), 9.584641)
Top result for (M, N) = (6656, 1536) : ((128, 32), 28.815361)
Top result for (M, N) = (6656, 2048) : ((32, 64), 36.280319)
Top result for (M, N) = (6656, 2560) : ((256, 32), 45.332481)
Top result for (M, N) = (6656, 3072) : ((256, 32), 52.070396)
Top result for (M, N) = (6656, 3584) : ((256, 32), 60.405762)
Top result for (M, N) = (6656, 4096) : ((32, 32), 67.921921)
Top result for (M, N) = (6656, 4608) : ((256, 32), 76.134399)
Top result for (M, N) = (6656, 5120) : ((512, 32), 83.558395)
Top result for (M, N) = (6656, 5632) : ((512, 32), 91.002884)
Top result for (M, N) = (6656, 6144) : ((256, 32), 97.73056)
Top result for (M, N) = (6656, 6656) : ((512, 32), 106.086395)
Top result for (M, N) = (6656, 7168) : ((512, 32), 113.899513)
Top result for (M, N) = (6656, 7680) : ((256, 64), 121.497604)
Top result for (M, N) = (6656, 8192) : ((256, 32), 127.672318)
Top result for (M, N) = (7168, 512) : ((32, 32), 7.4752)
Top result for (M, N) = (7168, 1024) : ((256, 32), 11.12064)
Top result for (M, N) = (7168, 1536) : ((128, 32), 30.74048)
Top result for (M, N) = (7168, 2048) : ((512, 32), 39.342079)
Top result for (M, N) = (7168, 2560) : ((512, 32), 48.773121)
Top result for (M, N) = (7168, 3072) : ((32, 32), 56.473598)
Top result for (M, N) = (7168, 3584) : ((256, 32), 64.471039)
Top result for (M, N) = (7168, 4096) : ((128, 32), 71.884796)
Top result for (M, N) = (7168, 4608) : ((512, 64), 81.704956)
Top result for (M, N) = (7168, 5120) : ((256, 32), 89.343994)
Top result for (M, N) = (7168, 5632) : ((256, 32), 97.259521)
Top result for (M, N) = (7168, 6144) : ((256, 32), 104.48896)
Top result for (M, N) = (7168, 6656) : ((128, 32), 114.401283)
Top result for (M, N) = (7168, 7168) : ((256, 32), 121.477119)
Top result for (M, N) = (7168, 7680) : ((512, 32), 129.556473)
Top result for (M, N) = (7168, 8192) : ((512, 32), 137.963516)
Top result for (M, N) = (7680, 512) : ((32, 32), 7.65952)
Top result for (M, N) = (7680, 1024) : ((128, 64), 12.769279)
Top result for (M, N) = (7680, 1536) : ((256, 32), 32.645123)
Top result for (M, N) = (7680, 2048) : ((256, 32), 41.53344)
Top result for (M, N) = (7680, 2560) : ((256, 32), 51.415039)
Top result for (M, N) = (7680, 3072) : ((256, 32), 59.135998)
Top result for (M, N) = (7680, 3584) : ((128, 64), 69.744637)
Top result for (M, N) = (7680, 4096) : ((128, 32), 76.533768)
Top result for (M, N) = (7680, 4608) : ((256, 32), 86.220802)
Top result for (M, N) = (7680, 5120) : ((512, 32), 95.682564)
Top result for (M, N) = (7680, 5632) : ((256, 64), 104.816635)
Top result for (M, N) = (7680, 6144) : ((512, 32), 112.599037)
Top result for (M, N) = (7680, 6656) : ((256, 32), 120.934395)
Top result for (M, N) = (7680, 7168) : ((512, 32), 130.170883)
Top result for (M, N) = (7680, 7680) : ((128, 32), 139.417603)
Top result for (M, N) = (7680, 8192) : ((512, 32), 147.077133)
Top result for (M, N) = (8192, 512) : ((32, 32), 7.874559)
Top result for (M, N) = (8192, 1024) : ((256, 64), 16.6912)
Top result for (M, N) = (8192, 1536) : ((256, 32), 34.519039)
Top result for (M, N) = (8192, 2048) : ((256, 32), 43.581436)
Top result for (M, N) = (8192, 2560) : ((256, 32), 54.568958)
Top result for (M, N) = (8192, 3072) : ((256, 32), 62.443516)
Top result for (M, N) = (8192, 3584) : ((256, 32), 73.0112)
Top result for (M, N) = (8192, 4096) : ((256, 32), 81.090561)
Top result for (M, N) = (8192, 4608) : ((256, 32), 91.627525)
Top result for (M, N) = (8192, 5120) : ((512, 32), 101.611519)
Top result for (M, N) = (8192, 5632) : ((256, 32), 110.448639)
Top result for (M, N) = (8192, 6144) : ((512, 32), 119.746559)
Top result for (M, N) = (8192, 6656) : ((256, 64), 129.853439)
Top result for (M, N) = (8192, 7168) : ((256, 32), 138.342392)
Top result for (M, N) = (8192, 7680) : ((256, 32), 146.780167)
Top result for (M, N) = (8192, 8192) : ((256, 32), 155.893753)
Best candidates for schedule 1:
BLOCK_X=64, TILE_SIZE=32: Count=201
BLOCK_X=256, TILE_SIZE=32: Count=200
BLOCK_X=512, TILE_SIZE=32: Count=195
BLOCK_X=128, TILE_SIZE=32: Count=174
BLOCK_X=128, TILE_SIZE=64: Count=171
BLOCK_X=256, TILE_SIZE=64: Count=170
BLOCK_X=32, TILE_SIZE=32: Count=162
BLOCK_X=64, TILE_SIZE=64: Count=160
BLOCK_X=512, TILE_SIZE=64: Count=155
BLOCK_X=1024, TILE_SIZE=32: Count=146
BLOCK_X=32, TILE_SIZE=64: Count=132
BLOCK_X=1024, TILE_SIZE=64: Count=122
BLOCK_X=256, TILE_SIZE=128: Count=118
BLOCK_X=512, TILE_SIZE=128: Count=116
BLOCK_X=128, TILE_SIZE=128: Count=110
BLOCK_X=64, TILE_SIZE=128: Count=107
BLOCK_X=1024, TILE_SIZE=128: Count=99
BLOCK_X=32, TILE_SIZE=128: Count=99
BLOCK_X=64, TILE_SIZE=256: Count=85
BLOCK_X=256, TILE_SIZE=256: Count=84
BLOCK_X=128, TILE_SIZE=256: Count=78
BLOCK_X=512, TILE_SIZE=256: Count=74
BLOCK_X=1024, TILE_SIZE=256: Count=62
BLOCK_X=32, TILE_SIZE=256: Count=51
BLOCK_X=256, TILE_SIZE=512: Count=34
BLOCK_X=64, TILE_SIZE=512: Count=32
BLOCK_X=128, TILE_SIZE=512: Count=30
BLOCK_X=32, TILE_SIZE=512: Count=23
BLOCK_X=512, TILE_SIZE=512: Count=22
BLOCK_X=1024, TILE_SIZE=512: Count=19
